X	Y	Tool	Rotation
59252	37205	1	0
59646	37205	1	0
60039	37205	1	0
60433	37205	1	0
60827	37205	1	0
61220	37205	1	0
61614	37205	1	0
62008	37205	1	0
62402	37205	1	0
62795	37205	1	0
63189	37205	1	0
63583	37205	1	0
63976	37205	1	0
64370	37205	1	0
64764	37205	1	0
65157	37205	1	0
65551	37205	1	0
65945	37205	1	0
66339	37205	1	0
66732	37205	1	0
67126	37205	1	0
58858	36811	1	0
59252	36811	1	0
59646	36811	1	0
60039	36811	1	0
60433	36811	1	0
60827	36811	1	0
61220	36811	1	0
61614	36811	1	0
62008	36811	1	0
62402	36811	1	0
62795	36811	1	0
63189	36811	1	0
63583	36811	1	0
63976	36811	1	0
64370	36811	1	0
64764	36811	1	0
65157	36811	1	0
65551	36811	1	0
65945	36811	1	0
66339	36811	1	0
66732	36811	1	0
67126	36811	1	0
